,Spot Size (µm),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
BRc_grain_108_6,75,2.104752819,0.171032082,7088.268164,289.9006113,237.7297905,21.52990825,5462.645203,64.89979089,0.803331836,0.005967395,4911.547702,9.27548689,0.528068817,0.028098871,,0.998443812,-0.166788272
BRc_grain_108_7,75,2.774584543,0.205344671,8317.718047,264.8739566,316.0436011,25.11972528,5773.8191,56.3916371,0.815495028,0.006067494,4928.939609,8.511435994,0.38970726,0.018684838,,0.997374762,0.038254161
BRc_grain_108_8,75,1.836388107,0.113237432,6578.749602,205.2540623,200.9214439,13.18370019,5337.471632,48.12228799,0.794469709,0.007382809,4891.48958,11.66728554,0.56974302,0.02535738,,0.995789267,-0.056283251
BRc_grain_108_9,75,1.849966767,0.119986398,6553.816555,206.3429287,199.9944189,12.93232639,5339.401159,52.18354279,0.79482683,0.006633075,4897.2039,11.30845734,0.578639972,0.026690595,,0.997136503,-0.222129788
BRc_grain_108_10,75,2.000203888,0.178552074,6844.22933,305.4178298,219.0063717,20.63614544,5386.056887,69.57810017,0.792712041,0.00861254,4878.304259,13.27958604,0.561871982,0.032170812,,0.997784737,-0.15046542
BRc_grain_108_11,75,1.932517615,0.117550706,6784.374059,214.56476,213.1533894,13.42597214,5396.369264,49.48104673,0.800287161,0.005643876,4912.349778,8.906178948,0.548293201,0.026215566,,0.997294967,-0.044244176
BRc_grain_108_12,75,1.806145309,0.148364181,6419.030573,258.7598104,195.2742963,17.0447734,5275.199241,60.52564673,0.782088649,0.006920665,4876.198693,11.78981798,0.611897259,0.032509636,,0.998131068,-0.083253932
BRc_grain_108_13,75,1.904664224,0.105307832,6754.205818,189.1002215,206.94708,11.92493111,5376.933725,43.68576511,0.790365584,0.007638522,4885.510397,12.48084452,0.550824642,0.020961644,,0.995534501,-0.108405334
BRc_grain_108_14,75,2.491160803,0.156677217,7876.509615,234.0375323,277.8148047,18.0646521,5662.355722,49.86302084,0.808555013,0.005324342,4923.496314,8.343099605,0.426437259,0.019954037,,0.997083656,0.001484057
BRc_grain_108_15,75,2.083612257,0.137744636,7079.727565,231.5980635,229.6737878,16.08041472,5471.316535,55.81221766,0.799709712,0.006250759,4908.306128,9.899118534,0.513260795,0.024926388,,0.998117368,-0.189933221
BRc_grain_108_16,75,1.713994749,0.092947253,6324.90641,184.5164913,184.2102536,10.43487128,5259.133389,44.39810726,0.781393054,0.008045718,4874.973267,12.54472883,0.610389331,0.02581917,,0.995700287,0.014749722
BRc_grain_108_17,75,2.2452797,0.170441161,7352.529969,261.9224674,254.100259,21.63063338,5543.813843,59.59581005,0.808160875,0.010006037,4889.262852,16.03320472,0.483247442,0.024609211,,0.99567097,0.059538806
BRc_grain_108_18,75,2.583669764,0.143162962,8078.979389,213.0629539,290.1761729,16.6767414,5717.27406,45.08624166,0.815901239,0.005378758,4931.936471,7.984497536,0.40606537,0.01819985,,0.997664836,0.024514985
BRc_grain_108_19,75,2.532607391,0.143237936,7972.07071,226.0042963,282.947031,16.31978488,5693.804034,50.62971219,0.811669538,0.006293629,4921.001588,8.638278642,0.421342254,0.019485282,,0.996738901,0.010400102
BRc_grain_109_1,75,6.416060087,0.159414775,12859.42052,139.9987686,739.6984739,17.34692406,6701.177822,24.56354423,0.840892611,0.004487078,4957.664485,6.424231278,0.159284892,0.00406906,,0.977078422,0.130686482
BRc_grain_109_2,75,5.133846722,0.177290067,11595.59901,180.4692304,584.8894816,19.35502839,6455.351624,33.75160909,0.832373714,0.003995144,4956.78015,5.703939516,0.201250087,0.006913289,,0.99187005,0.007072727
BRc_grain_109_3,75,5.775888508,0.23703405,12215.3799,192.0826875,665.9308767,27.27721574,6578.237161,34.23990279,0.838717415,0.00522563,4954.586854,7.475667122,0.177646504,0.006264327,,0.994898113,0.187574514
BRc_grain_109_4,75,4.967182763,0.166929119,11468.77476,189.5860571,564.8004158,19.20232844,6423.209035,35.60504302,0.827859654,0.006341401,4935.317621,10.36794981,0.207375187,0.007350828,,0.98197272,0.103881592
BRc_grain_109_5,75,4.685374185,0.254903415,11008.41006,245.7787787,527.9016227,26.85752426,6335.162054,45.81637609,0.829215364,0.00503379,4946.323175,7.546981615,0.225165403,0.010287747,,0.996858863,0.046154527
BRc_grain_109_6,75,4.52097702,0.21842515,10897.45952,263.2941341,514.6430324,25.0585454,6310.993013,50.63205826,0.828076261,0.003543873,4956.933198,5.528621427,0.236019444,0.011777463,,0.996636527,-0.080166149
BRc_grain_109_7,75,3.919423464,0.271588448,10023.76272,314.6231886,439.5925068,31.11291882,6126.747273,64.71707284,0.814221876,0.00517436,4932.990417,7.022037961,0.282138797,0.016174854,,0.998219536,-0.178499988
BRc_grain_109_8,75,4.679419129,0.214584048,11053.05786,212.3474578,529.0281719,24.81249017,6336.114014,40.31983195,0.821508638,0.003284957,4949.714877,4.801404282,0.22323956,0.00860979,,0.998244003,-0.11694121
BRc_grain_109_9,75,4.430806168,0.215418844,10783.47486,234.5347434,502.3366636,24.51803351,6287.024212,44.0586703,0.824330067,0.004037413,4948.983719,5.927505235,0.235517285,0.010114238,,0.997075941,0.08778051
BRc_grain_109_10,75,4.838235776,0.254607197,11194.40419,275.8110184,557.7267513,29.33293316,6380.848955,51.93038883,0.838566562,0.004607322,4956.493845,6.280369412,0.223843575,0.011488791,,0.996452189,0.04891387
BRc_grain_110_1,75,1.872409116,0.269551823,5942.503736,547.4751306,206.774561,30.79466484,5019.290126,149.7521537,0.774090241,0.01671399,4784.374474,24.48069699,1.040712309,0.112700304,,0.972183869,-0.368972212
BRc_grain_110_2,75,2.079340364,0.062384565,7205.219273,121.3223671,241.2586817,6.681590171,5561.536981,25.67540297,0.843499031,0.007568837,4927.804666,12.44462536,0.491914148,0.012815018,,0.972656099,0.391417101
BRc_grain_110_3,75,2.719458656,0.07425859,8418.461498,130.6222838,321.7984017,9.795917961,5851.100611,32.45389901,0.855262668,0.00782542,4935.207951,12.43064585,0.37434335,0.011539607,,0.955401843,-0.094477702
BRc_grain_110_4,75,1.336806509,0.083893575,5341.643018,202.1263015,143.0196268,9.808593263,4974.3378,59.76007265,0.76818629,0.010024664,4837.76279,15.90200984,0.81275694,0.041979045,,0.991715449,-0.303910699
BRc_grain_110_5,75,1.595316335,0.03424993,6127.450895,83.20835968,175.4865415,3.5261222,5248.911484,21.08975498,0.803814335,0.011833034,4872.170119,15.85967356,0.632898779,0.013443011,,0.889999719,0.333050333
