Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRc_grain_65,0.2798874685700375,1.8203181778795184e-05,0.5956427037157908,2.3950952061629586e-05,0.10578034451524396,8.756598979335068e-06,0.006124927966536472,4.37142418955355e-06,,,,,0.0053215293915556214,3.205607904556167e-06,,,0.007243025840835685,4.109197397280718e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_67,0.31273664756638875,1.8512253701486605e-05,0.6028542675222207,2.225549924304437e-05,0.06719727015956808,6.622133806517447e-06,0.011197506731833553,6.374924492693528e-06,,,,,0.003577011932967501,3.1186255320331533e-06,,,0.0024372960870214094,4.002873942808692e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_69,0.3290269784188489,1.821057674069558e-05,0.6000257844963581,2.0951750829072083e-05,0.039806393741086896,4.9596367373684946e-06,0.022691912117867072,6.017817597405378e-06,,,,,,,,,0.002103961237636845,4.075378202272154e-06,0.006344969988202107,3.3739469732672423e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_71,0.26075492630948677,1.765061651470469e-05,0.6239877408198483,2.3784754755163412e-05,0.09998887526109389,8.758804643613832e-06,0.006577723016222743,3.997139046862484e-06,,,,,,,,,0.005266849958219641,3.878992041915325e-06,0.0034238846351287056,3.1689520672754254e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_72,0.31645674380118277,1.753664769401677e-05,0.6104210320719583,2.0418386901004663e-05,0.059673551656645486,6.161246574343129e-06,0.006670811741558213,4.202408263937385e-06,,,,,0.004166603315888059,3.007630733886134e-06,,,0.0026112574127670892,3.997885672638526e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_74,0.2716910592287701,1.8314959923662816e-05,0.6169619546977181,2.385313432932883e-05,0.07621086958016848,7.848884439386366e-06,0.007611041753381367,4.177503734339321e-06,0.000887501904631702,4.392922134166196e-06,,,0.006075521638136256,3.0365803322611107e-06,,,0.017011678829596217,4.118059424940409e-06,0.0035503723675978462,3.2995835471558145e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_75,0.269342155018084,1.7078512672702974e-05,0.6209366476841719,2.1988134949285738e-05,0.07619494449377928,6.720087683014075e-06,0.007538971153197127,4.082072251640222e-06,,,,,0.006022705572450359,3.006722136472476e-06,,,0.01674162193129323,4.04554068125848e-06,0.0032229541470240822,3.2553121690977446e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_76,0.3155405339334359,1.7940158227636808e-05,0.6087544332764139,2.1105772288609635e-05,0.05218296904813252,5.9261482431228245e-06,0.01614821623634354,5.895061275077418e-06,,,,,0.002514668269492216,2.9464768201656456e-06,,,0.0009660301055044626,3.896028511088602e-06,0.0038931491306774153,3.2193762365706523e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_77,0.30973220553524894,1.763366426507899e-05,0.6242550267279584,2.0076662602162407e-05,0.05616581507366745,6.038280223006007e-06,0.007802084114420325,3.899161212958102e-06,,,,,0.0009016032968609554,2.9354845724177016e-06,,,0.0011432652518439113,3.832894808318946e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_80,0.36044690783192784,1.8565227548576894e-05,0.581539435181921,2.088990526839736e-05,0.03319415240202744,5.105549741549179e-06,0.00897906633003536,4.477477212371988e-06,,,,,0.003939325215547452,3.2146335077133667e-06,,,0.009915287591389411,4.341607752483436e-06,0.001985825447151539,3.5884628210254145e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
