Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
BRe_grain_109,0.012317470046578582,3.7605681825426555e-06,,,,,0.338840172436912,1.3046056344924711e-05,,,,,,,,,0.6212794796172713,1.4231414630169969e-05,,,,,0.0009797340919479897,2.497862879058422e-06,,,0.02160639537396258,2.7023084211522172e-06,0.004976748433327525,2.028355940106863e-06,,,,
BRe_grain_110,0.006010272044237117,2.851224480551862e-06,0.04003336419801393,3.3773452747544793e-06,,,0.1832470592046894,1.0207484825606435e-05,,,,,0.0008900683138545909,1.7334525310143992e-06,,,0.6455994252334684,1.7940922803725765e-05,,,,,0.044919214891175216,4.5569099789128965e-06,,,0.07723239070803983,5.331754465014236e-06,0.0020682054065215005,2.1898739562380615e-06,,,,
BRe_grain_111,0.0009287199885564637,2.9541339968278043e-06,0.0006538510248072188,1.3544231389911225e-06,,,0.2857737973069313,1.0182321896261308e-05,,,,,,,,,0.6738531473518514,1.1516681549444453e-05,,,,,0.038369538793613024,4.217783192819117e-06,,,0.0004209455342406493,1.3064532335504238e-06,,,,,,
BRc02_grain_94,0.002566488172224051,3.2917848183665757e-06,0.0012187162170590109,1.6279812934381993e-06,,,0.35774972121857535,1.2593664384854013e-05,,,,,,,,,0.6196214867820231,1.3247855215487973e-05,,,,,0.016864399985448954,3.569296510080107e-06,,,0.0016940746759973877,1.6621629360131692e-06,0.00028511294867211614,1.6142128592543857e-06,,,,
BRc02_grain_95,0.004754515867175314,3.207030536247944e-06,0.0002831943533878808,1.4245437852780978e-06,,,0.2974266503646127,1.2739428088737621e-05,,,,,0.0027806823756731914,2.0416616124369427e-06,,,0.6408772585714845,1.5046455060711657e-05,,,,,0.0033810368078011645,2.582635688865236e-06,,,0.04539278761573096,3.710980057106747e-06,0.005103874044134315,2.1907638246940274e-06,,,,
BRc02_grain_96,,,,,,,0.11599562742709699,8.30244670482709e-06,,,,,0.006251686788345002,2.1221300434386667e-06,,,0.683943110476337,1.8775794813501763e-05,,,,,,,,,0.19380957530822085,1.1953909966798719e-05,,,,,,
BRc02_grain_98,0.0010433670669967403,2.7777874260796074e-06,0.0003027734786148701,1.417266511744806e-06,,,0.2635643484663209,1.3255328785390194e-05,,,,,,,,,0.6460909014982512,1.7011241498956226e-05,,,,,0.002103583808385035,2.398456107044843e-06,,,0.08596306113970004,5.52662074982934e-06,0.0009319645417311581,2.317575618109946e-06,,,,
BRc02_grain_99,0.006450364498665531,3.7947143975389746e-06,0.0006821562672473774,1.827418939924789e-06,,,0.39519054397994935,1.537351286954686e-05,,,,,0.00245427211715202,2.4485207463370437e-06,,,0.5691165015511574,1.637135369457459e-05,,,,,0.007372384405384954,3.2639203791090145e-06,,,0.01486873711809613,2.7382597486110405e-06,0.003865040062347325,2.1975309130910437e-06,,,,
BRc02_grain_100,0.002251400268015893,3.3226256279070635e-06,,,,,0.3577783641641086,1.22966229203451e-05,,,,,,,,,0.6370383414518516,1.2542754997078581e-05,,,,,0.001798685673960552,2.6887944042275453e-06,,,0.0006933826009179078,1.5744130897004432e-06,0.0004398258411454711,1.5341158064794975e-06,,,,
Hematite_Senin_04,0.0018194255354938792,3.349000699170532e-06,,,,,0.39871563377543895,1.3296540401694886e-05,,,,,,,,,0.5989418764071462,1.3614661124091137e-05,,,,,0.0005230642819209234,2.66964216995981e-06,,,,,,,,,,
