Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
LRa02_grain_40,0.0008988922195659305,2.3276838837263056e-06,,,,,0.40893808932387105,1.3011777556712586e-05,,,,,,,,,0.5872699400521806,1.3203450370793599e-05,,,,,0.0020964659741779103,2.2154642783521015e-06,0.0007966124302045142,1.3310810632393837e-06,,
LRa02_grain_41,0.0054608877832929255,4.364143574515836e-06,,,,,0.31832638296348076,1.0640586169171171e-05,,,,,,,,,0.6625525204120483,1.1528598257470624e-05,0.002379297093129009,1.8863517598144464e-06,,,0.011280911748049,4.142415927288151e-06,,,,
LRa02_grain_42,0.012398588287797196,4.875148999804968e-06,0.0009065371282551074,1.6806546775891884e-06,,,0.39073475992923395,1.3281191775974174e-05,,,,,,,,,0.5692764438605455,1.4428600298280006e-05,,,,,0.01992503821727126,4.58671479351393e-06,0.0067586325768969144,2.7825016466122785e-06,,
LRa02_grain_43,,,,,,,0.40840766292745806,1.2932008076258857e-05,,,,,,,,,0.5852548298575615,1.30945567537085e-05,,,,,0.005904982762060323,2.237500454219064e-06,0.00043252445292012235,1.3403111033717889e-06,,
LRa02_grain_44,0.00713979325014607,4.6222052171607645e-06,0.0007711327156720201,1.535530811493748e-06,,,0.3860159991731216,1.2968021304790638e-05,,,,,,,,,0.5889088753895091,1.3568883196541546e-05,0.00111225042187432,2.019189872252889e-06,,,0.014210612520437343,4.367227812941758e-06,0.0014385166147460294,1.309053874370506e-06,0.0004028199144934964,1.222368265847008e-06
LRa02_grain_45,,,,,,,0.33818853003520294,1.1111025253565328e-05,,,,,,,,,0.6526278195642817,1.1368057859611018e-05,,,,,0.009183650400515338,2.2027306301751796e-06,,,,
LRa02_grain_46,0.009304037146203968,4.710375947459091e-06,0.0006975087422170482,1.5821566384260795e-06,,,0.38438432060016686,1.3278188539715318e-05,,,,,,,,,0.5840659342554735,1.4208589037811711e-05,,,,,0.016273117056243194,4.4739154443904315e-06,0.004522990578618573,2.6526625116661415e-06,0.0007520916210767915,1.2397247129675696e-06
LRa02_grain_47,0.014199762312506236,4.64640404416355e-06,0.0006876061509671899,1.5974651416765532e-06,,,0.3604287284430771,1.236353739413174e-05,0.00035290348349118655,1.6068172389458377e-06,0.016191128937720203,5.127185484037855e-06,0.0015066334324304205,2.3447605056324903e-06,,,0.5762464595639402,1.4120741455215932e-05,,,,,0.02544249126841918,4.412908631550675e-06,0.004471439328011404,2.5841738812031763e-06,0.00047284707943691335,1.2378080458562754e-06
LRa02_grain_48,,,,,,,0.4030938091592387,1.2831038249770328e-05,,,,,,,,,0.5946061257386617,1.2925471337589991e-05,,,,,0.0023000651020996816,2.200599672561537e-06,,,,
LRa02_grain_49,0.013204594558046788,4.445664046657309e-06,0.0006717310025431431,1.4959117140725321e-06,,,0.35344610981314517,1.209817555033333e-05,,,0.01287650217617023,4.983025339601109e-06,,,,,0.5909598015123209,1.3443062330986536e-05,,,,,0.022621549424722952,4.281399517861726e-06,0.005690368836598893,2.5722541377195044e-06,0.0005293426764519635,1.2316636770630096e-06
LRa02_grain_50,,,0.00032237759026290756,1.5033746042482851e-06,,,0.3807684908752743,1.1732344323074151e-05,,,,,,,,,0.6121298644097768,1.1885477298637356e-05,,,,,0.005897169358043712,2.068092117586909e-06,0.0008820977666423316,1.2326457982525602e-06,,
LRa02_grain_51,0.008611267965571207,4.728838712187693e-06,,,,,0.3918162041763223,1.3437053709034331e-05,0.0018882448155765335,1.6543941909551725e-06,,,,,,,0.5778212773095984,1.437335499685493e-05,,,,,0.015159789968448727,4.6251258480392106e-06,0.004703215764482753,2.7137587796024236e-06,,
LRa02_grain_52,0.009004409978289657,4.957437984815527e-06,0.0005424642488877638,1.6938896939553775e-06,,,0.3921744941672931,1.3957488992765176e-05,,,,,,,,,0.5744381454092495,1.5080847135293555e-05,,,,,0.016523154183570324,4.543173327328594e-06,0.006819423921494161,2.7315184217564227e-06,0.0004979080912155444,1.3126030579714019e-06
LRa02_grain_53,,,,,,,0.33841543763216986,1.1150211840199867e-05,,,,,,,,,0.6531553132779441,1.1374050281366874e-05,0.0009660817252264143,1.9724942678468684e-06,,,0.0074631673646596945,2.1538416572705146e-06,,,,
